"","Trials.thisN","condition","blurr_confirm.rt","Press","Whenpress","Curiosity.response","Confidence.response","Surprise.response","ParticipantID","normal_confidence","normal_curiosity","normal_surprise"
"716",72,1,0.0598377302522,1,12,2,10,2,7,0.798237446164722,-0.435183319076804,-0.118443281829433
"729",73,1,0.182334308396,1,15,3,7,2,7,-0.272246546208498,0.164303906182059,-0.118443281829433
"752",75,1,0.745696302329,1,12,5,6,6,7,-0.629074543666237,1.36327835669978,2.08705231085656
"765",76,1,0.681141690759,1,6,3,8,2,7,0.0845814512492421,0.164303906182059,-0.118443281829433
"781",78,1,0.896788056067,1,11,3,8,6,7,0.0845814512492421,0.164303906182059,2.08705231085656
"793",79,1,0.378628114238,1,10,3,9,1,7,0.441409448706982,0.164303906182059,-0.669817180000932
"804",80,1,0,0,0,4,6,2,7,-0.629074543666237,0.763791131440921,-0.118443281829433
"837",83,1,0.431187600072,1,12,2,10,1,7,0.798237446164722,-0.435183319076804,-0.669817180000932
"850",84,1,0.89062665333,1,2,1,10,1,7,0.798237446164722,-1.03467054433567,-0.669817180000932
"853",85,1,0.662453706726,1,10,2,9,1,7,0.441409448706982,-0.435183319076804,-0.669817180000932
"864",86,1,0.271751618769,1,12,3,8,2,7,0.0845814512492421,0.164303906182059,-0.118443281829433
"877",87,1,0.592496817058,1,7,2,9,1,7,0.441409448706982,-0.435183319076804,-0.669817180000932
"898",89,1,0.721106669982,1,11,2,9,2,7,0.441409448706982,-0.435183319076804,-0.118443281829433
"910",90,1,0.479068092478,1,15,2,10,1,7,0.798237446164722,-0.435183319076804,-0.669817180000932
"926",91,1,0,0,0,6,1,3,7,-2.41321453095494,1.96276558195864,0.432930616342066
"942",92,1,0.229459430906,1,15,2,9,6,7,0.441409448706982,-0.435183319076804,2.08705231085656
"958",93,1,0.664398281078,1,10,2,10,1,7,0.798237446164722,-0.435183319076804,-0.669817180000932
"969",94,1,0.0746942509431,1,15,3,9,1,7,0.441409448706982,0.164303906182059,-0.669817180000932
"985",95,1,0.847958999046,1,13,2,8,1,7,0.0845814512492421,-0.435183319076804,-0.669817180000932
"1011",97,1,0,0,0,4,8,6,7,0.0845814512492421,0.763791131440921,2.08705231085656
"1027",98,4,0.704682406678,1,2,2,9,1,7,0.441409448706982,-0.435183319076804,-0.669817180000932
"1054",101,1,0.249122603447,1,14,3,8,1,7,0.0845814512492421,0.164303906182059,-0.669817180000932
"1069",102,1,0.596649474872,1,11,2,10,1,7,0.798237446164722,-0.435183319076804,-0.669817180000932
"1094",104,1,0,0,0,6,1,6,7,-2.41321453095494,1.96276558195864,2.08705231085656
"1110",105,1,0.195810819569,1,12,2,9,1,7,0.441409448706982,-0.435183319076804,-0.669817180000932
"1123",106,1,0.812171594938,1,12,4,7,2,7,-0.272246546208498,0.763791131440921,-0.118443281829433
